ko_number	name	description	metabolism
K22278	pgdA	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	CAZymes carbohydrate esterase
K22279	VH	vicianin beta-glucosidase [EC:3.2.1.119]	CAZymes glycoside hydrolase
K22283	LIPC	hepatic triacylglycerol lipase [EC:3.1.1.3]	CAZymes carbohydrate esterase
K22284	LIPG	endothelial lipase [EC:3.1.1.3]	CAZymes carbohydrate esterase
K22307	E3.2.1.204	1,3-alpha-isomaltosidase [EC:3.2.1.204]	CAZymes glycoside hydrolase
K22308	E3.2.1.205	isomaltose glucohydrolase [EC:3.2.1.205]	CAZymes glycoside hydrolase
K22425	OEGLU	oleuropein beta-glucosidase [EC:3.2.1.206]	CAZymes glycoside hydrolase
K22451	jgt	4-alpha-glucanotransferase [EC:2.4.1.25]	CAZymes glycoside hydrolase
K22539	PLY	pectate lyase [EC:4.2.2.2]	CAZymes polysaccharide lyase
K22771	UGT73C6	flavonol-3-O-L-rhamnoside-7-O-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22772	FG2	flavonol-3-O-glucoside L-rhamnosyltransferase [EC:2.4.1.159]	CAZymes glycosyl transferase
K22809	IPUT1	inositol phosphorylceramide glucuronosyltransferase 1 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22832	GAS1	1,3-beta-glucanosyltransferase GAS1 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22833	GAS2	1,3-beta-glucanosyltransferase GAS2 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22834	GAS3	1,3-beta-glucanosyltransferase GAS3 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22835	GAS4	1,3-beta-glucanosyltransferase GAS4 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22836	GAS5	1,3-beta-glucanosyltransferase GAS5 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22848	DGAT2	diacylglycerol O-acyltransferase 2, plant [EC:2.3.1.20]	CAZymes carbohydrate esterase
K22849	DGAT3	diacylglycerol O-acyltransferase 3, plant [EC:2.3.1.20]	CAZymes carbohydrate esterase
K22908	mggS	mannosylglucosylglycerate synthase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K22933	lplD	galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]	CAZymes glycoside hydrolase
K22934	E3.2.1.28	alpha,alpha-trehalase [EC:3.2.1.28]	CAZymes glycoside hydrolase
K22994	pelX	pectate disaccharide-lyase [EC:4.2.2.9]	CAZymes polysaccharide lyase
K23004	lgaB	L-galactono-1,5-lactonase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K23072	wbbI	O16-antigen biosynthesis beta-1,6-galactofuranosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23079	E2.4.1.359	glucosylglycerol phosphorylase (configuration-retaining) [EC:2.4.1.359]	CAZymes glycoside hydrolase
K23084	rgtA	lipopolysaccharide core galacturonosyltransferase RgtA [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23085	rgtB	lipopolysaccharide core galacturonosyltransferase RgtB [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23102	wekW	O18-antigen biosynthesis alpha-1,3-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23103	wekU	O18-antigen biosynthesis glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23105	wbdL	O111-antigen biosynthesis colitosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23154	CGT	2-hydroxyflavanone C-glucosyltransferase [EC:2.4.1.360]	CAZymes glycosyl transferase
K23200	ARAD	putative arabinosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K23252	aglS	dolichol phosphate-mannose mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23260	TOGT1	scopoletin glucosyltransferase [EC:2.4.1.128]	CAZymes glycosyl transferase
K23272	P2OX	pyranose oxidase [EC:1.1.3.10]	CAZymes auxiliary activities
K23280	RRT	rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]	CAZymes glycosyl transferase
K23424	TMTC	protein O-mannosyl-transferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23452	UGT85A	UDP-glucosyltransferase 85A [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23465	tgnD	(E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K23465	tgnD	(E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K23515	LPO	lignin peroxidase [EC:1.11.1.14]	CAZymes auxiliary activities
K23521	UGT74AE2	protopanaxadiol-type ginsenoside 3-O-glucosyltransferase [EC:2.4.1.364]	CAZymes glycosyl transferase
K23522	UGT94Q2	protopanaxadiol-type ginsenoside-3-O-glucoside 2''-O-glucosyltransferase [EC:2.4.1.365]	CAZymes glycosyl transferase
K23528	pnpB	p-benzoquinone reductase (NADPH) [EC:1.6.5.6]	CAZymes auxiliary activities
K23550	nanH	sialidase [EC:3.2.1.18]	CAZymes glycoside hydrolase
K23591	TS	trans-sialidase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K23591	TS	trans-sialidase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K23670	besC	4-chloro-allylglycine synthase [EC:1.14.99.-]	CAZymes auxiliary activities
K23683	aglD	glycosyltransferase AglD [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23684	aglJ	dolichol-phosphate hexosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23685	aglI	glycosyltransferase AglI [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23686	aglE	glycosyltransferase AglE [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23869	GALS	galactan beta-1,4-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K23982	MTP1_2	beta-1,2-mannooligosaccharide synthase [EC:2.4.1.374]	CAZymes glycosyl transferase
K23989	lytD, lytB	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]	CAZymes glycoside hydrolase
K24100	E3.2.1.213	galactan exo-1,6-beta-galactobiohydrolase (non-reducing end) [EC:3.2.1.213]	CAZymes glycoside hydrolase
K24103	UGT3A	UDP-glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24210	LIPN	lipase member N [EC:3.1.1.-]	CAZymes carbohydrate esterase
K24215	LIPK	lipase member K [EC:3.1.1.-]	CAZymes carbohydrate esterase
K24216	LIPJ	lipase member J [EC:3.1.1.-]	CAZymes carbohydrate esterase
K24529	mycB	protomycinolide IV desosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24531	mycD	mycinamicin VII 6-deoxyallosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24553	DPY19L	C-mannosyltransferase DPY19L [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24623	waaH	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24655	wbpX	O-antigen biosynthesis alpha-1,2-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24656	wbpY	O-antigen biosynthesis alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24657	wbpZ	O-antigen biosynthesis rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24661	rgtC	lipopolysaccharide core galacturonosyltransferase RgtC [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24662	rgtD	lipid A galacturonosyltransferase RgtD [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24673	wbyI	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K24727	MYORG	myogenesis-regulating glycosidase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K24727	MYORG	myogenesis-regulating glycosidase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K25108	E3.2.1.73	licheninase [EC:3.2.1.73]	CAZymes glycoside hydrolase
K25543	GLB1L	beta-galactosidase-1-like protein [EC:3.2.1.-]	CAZymes carbohydrate esterase
K25543	GLB1L	beta-galactosidase-1-like protein [EC:3.2.1.-]	CAZymes glycoside hydrolase
K25582	UGT1	phenyllactate UDP-glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K25603	E3.2.1.215	3-O-alpha-D-galactosyl-alpha-L-arabinofuranosidase [EC:3.2.1.215]	CAZymes glycoside hydrolase
K25649	mgh	mannosylglycerate hydrolase [EC:3.2.1.170]	CAZymes glycoside hydrolase
K25650	K25650	teichoic acid beta-1,3-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K25652	K25652	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K25653	K25653	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K25659	K25659	teichoic acid polymerase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K25669	tarP	poly(ribitiol-phosphate) beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K25707	LYZL	lysozyme [EC:3.2.1.17]	CAZymes glycoside hydrolase
K25763	ctsY	isomaltosyltransferase [EC:2.4.1.387]	CAZymes glycoside hydrolase
K25766	E3.2.1.216	kojibiose hydrolase [EC:3.2.1.216]	CAZymes glycoside hydrolase
K25767	nag31	exo-acting protein-alpha-N-acetylgalactosaminidase [EC:3.2.1.217]	CAZymes glycoside hydrolase
